,Phone_name,discounted_price,Actual_price,Discount_applied
0,Xiaomi Redmi Note 13,"Rs  45,999","Rs  52,999",13% OFF
1,Nokia 106 2023,"Rs  4,299","Rs  4,999",14% OFF
2,Nokia 105 Classic,"Rs  3,699","Rs  4,199",12% OFF
3,Nokia 105 2023,"Rs  4,099","Rs  4,699",13% OFF
4,VGO TEL Note 23,"Rs  27,299","Rs  31,999",15% OFF
5,AllCall Shine 12 Pro,"Rs  19,099","Rs  20,999",9% OFF
6,Realme 12 4G,"Rs  54,199","Rs  59,999",10% OFF
7,Samsung Galaxy A24 4G,"Rs  50,999","Rs  72,999",30% OFF
8,Qmobile QSmart Ultra,"Rs  21,999","Rs  29,999",27% OFF
9,AllCall Shine 12T,"Rs  16,999","Rs  18,499",8% OFF
10,Tecno Spark 20 Pro,"Rs  38,099","Rs  40,999",7% OFF
11,Infinix Note 40,"Rs  47,999","Rs  57,999",17% OFF
12,Samsung Galaxy A05,"Rs  23,100","Rs  24,999",8% OFF
13,Jazz Digit Energy 4G,"Rs  5,999","Rs  10,900",45% OFF
14,Realme C65,"Rs  46,999","Rs  49,999",6% OFF
15,Tecno Camon 30,"Rs  51,999","Rs  57,999",10% OFF
16,Jazz Digit E2 Pro 4G,"Rs  6,999","Rs  9,499",26% OFF
17,Infinix Hot 40 Pro,"Rs  41,199","Rs  44,999",8% OFF
18,Nokia G21,"Rs  24,899","Rs  31,999",22% OFF
19,Xiaomi Redmi 13C,"Rs  26,999","Rs  28,999",7% OFF
20,Nokia C31,"Rs  20,399","Rs  31,999",36% OFF
21,Xiaomi Redmi A3x,"Rs  19,499","Rs  20,999",7% OFF
22,Infinix Smart 8,"Rs  22,799","Rs  24,999",9% OFF
23,ZTE Blade A53 Pro,"Rs  15,899","Rs  20,999",24% OFF
24,Realme C53,"Rs  33,999","Rs  39,999",15% OFF
25,Honor X6a,"Rs  25,999","Rs  30,999",16% OFF
26,Tecno Spark 20 Pro Plus,"Rs  51,999","Rs  59,999",13% OFF
27,Xiaomi Redmi 12,"Rs  31,999","Rs  32,999",3% OFF
28,Oppo Reno 12F,"Rs  67,999","Rs  69,999",3% OFF
